Size,Iterations,Algorithm,Data Shape,Avg Time (s),Status
1000000,1,Merge Sort,Flat (Few Unique),2.607404,Success
1000000,1,Quick Sort,Flat (Few Unique),0.238537,Success
1000000,1,Python Timsort,Flat (Few Unique),0.043762,Success
1000000,1,Radix Sort,Flat (Few Unique),0.098839,Success
1000000,1,Shell Sort,Floats,5.913362,Success
1000000,1,Heap Sort,Floats,0.717922,Success
1000000,1,Merge Sort,Floats,2.225227,Success
1000000,1,Quick Sort,Floats,2.448694,Success
1000000,1,Python Timsort,Floats,0.124228,Success
1000000,1,Radix Sort,Floats,,Skipped — integers only
1000000,1,Shell Sort,Strings,5.787463,Success
1000000,1,Heap Sort,Strings,0.738608,Success
1000000,1,Merge Sort,Strings,2.480374,Success
1000000,1,Quick Sort,Strings,2.660669,Success
1000000,1,Python Timsort,Strings,0.188029,Success
1000000,1,Radix Sort,Strings,,Skipped — integers only
