Size,Iterations,Algorithm,Data Shape,Avg (ns),Avg (s),Std (ns),Min (ns),Max (ns),Status
100,100000,Timsort (built-in),Almost Sorted,1035.8,0.000001036,244.1,250.0,18750.0,Success
100,100000,Timsort (custom),Almost Sorted,24188.4,0.000024188,1411.4,19959.0,53334.0,Success
100,100000,Merge Sort,Almost Sorted,71352.1,0.000071352,1480.3,67583.0,179334.0,Success
100,100000,Insertion Sort,Almost Sorted,11160.3,0.000011160,2999.1,5000.0,34541.0,Success
100,100000,Quick Sort,Almost Sorted,80611.0,0.000080611,4583.7,68584.0,147208.0,Success
100,100000,Timsort (built-in),Half Sorted,1838.0,0.000001838,107.5,1625.0,11041.0,Success
100,100000,Timsort (custom),Half Sorted,36337.0,0.000036337,1554.2,30250.0,73042.0,Success
100,100000,Merge Sort,Half Sorted,74889.8,0.000074890,1090.8,72917.0,141375.0,Success
100,100000,Insertion Sort,Half Sorted,58721.4,0.000058721,5604.7,37333.0,87833.0,Success
100,100000,Quick Sort,Half Sorted,68051.6,0.000068052,4248.0,54625.0,108334.0,Success
100,100000,Timsort (built-in),Flat (Few Unique),2787.9,0.000002788,153.6,2500.0,18125.0,Success
100,100000,Timsort (custom),Flat (Few Unique),45791.0,0.000045791,1972.5,38084.0,79625.0,Success
100,100000,Merge Sort,Flat (Few Unique),79705.4,0.000079705,1230.9,77000.0,190541.0,Success
100,100000,Insertion Sort,Flat (Few Unique),91984.1,0.000091984,7209.6,60917.0,129375.0,Success
100,100000,Quick Sort,Flat (Few Unique),17172.0,0.000017172,2405.4,13458.0,54416.0,Success
100,100000,Timsort (built-in),Floats,3682.9,0.000003683,158.6,3375.0,18292.0,Success
100,100000,Timsort (custom),Floats,51847.7,0.000051848,2029.1,43583.0,79292.0,Success
100,100000,Merge Sort,Floats,80253.5,0.000080254,1158.5,78125.0,157959.0,Success
100,100000,Insertion Sort,Floats,113124.6,0.000113125,7390.7,84375.0,151209.0,Success
100,100000,Quick Sort,Floats,81990.2,0.000081990,4469.5,70333.0,130083.0,Success
100,100000,Timsort (built-in),Strings,4956.6,0.000004957,193.4,4583.0,29208.0,Success
100,100000,Timsort (custom),Strings,54287.6,0.000054288,2143.5,45125.0,90750.0,Success
100,100000,Merge Sort,Strings,81033.9,0.000081034,1119.4,79000.0,108667.0,Success
100,100000,Insertion Sort,Strings,121986.0,0.000121986,7928.2,88209.0,196834.0,Success
100,100000,Quick Sort,Strings,84472.7,0.000084473,4462.1,72208.0,160042.0,Success
1000,1000,Timsort (built-in),Random Ints,48338.0,0.000048338,1075.1,46875.0,61708.0,Success
1000,1000,Timsort (custom),Random Ints,932143.3,0.000932143,19905.3,888791.0,1005375.0,Success
1000,1000,Merge Sort,Random Ints,1115081.6,0.001115082,7125.8,1099584.0,1161792.0,Success
1000,1000,Insertion Sort,Random Ints,12558749.5,0.012558749,346272.0,11583250.0,13932041.0,Success
1000,1000,Quick Sort,Random Ints,1152527.3,0.001152527,42858.0,1056041.0,1335417.0,Success
1000,1000,Timsort (built-in),Sorted Ints,1902.1,0.000001902,214.7,1791.0,8250.0,Success
1000,1000,Timsort (custom),Sorted Ints,420099.9,0.000420100,5907.2,415209.0,462625.0,Success
1000,1000,Merge Sort,Sorted Ints,929708.0,0.000929708,5972.3,918625.0,965791.0,Success
1000,1000,Insertion Sort,Sorted Ints,57683.9,0.000057684,2084.5,55750.0,78208.0,Success
1000,1000,Quick Sort,Sorted Ints,1142480.2,0.001142480,43955.9,1039750.0,1379167.0,Success
1000,1000,Timsort (built-in),Reverse Sorted,2029.6,0.000002030,101.8,1916.0,3333.0,Success
1000,1000,Timsort (custom),Reverse Sorted,1173046.8,0.001173047,11660.5,1158041.0,1242625.0,Success
1000,1000,Merge Sort,Reverse Sorted,931966.3,0.000931966,6501.3,916916.0,964875.0,Success
1000,1000,Insertion Sort,Reverse Sorted,24056518.3,0.024056518,236063.6,23650708.0,25300500.0,Success
1000,1000,Quick Sort,Reverse Sorted,1142433.1,0.001142433,43389.6,1050875.0,1304416.0,Success
1000,1000,Timsort (built-in),Almost Sorted,12443.8,0.000012444,1108.6,9625.0,24500.0,Success
1000,1000,Timsort (custom),Almost Sorted,517890.3,0.000517890,8834.4,492833.0,560917.0,Success
