Size,Iterations,Algorithm,Data Shape,Avg (ns),Avg (s),Std (ns),Min (ns),Max (ns),Status
30,100000,Timsort (built-in),Half Sorted,495.7,0.000000496,68.4,375.0,15458.0,Success
30,100000,Timsort (custom),Half Sorted,6881.5,0.000006881,963.5,3292.0,23125.0,Success
30,100000,Radix Sort,Half Sorted,6247.2,0.000006247,221.7,5917.0,21459.0,Success
30,100000,Counting Sort,Half Sorted,4507.6,0.000004508,219.7,3666.0,20875.0,Success
30,100000,Shell Sort,Flat (Few Unique),6683.0,0.000006683,562.6,4584.0,33417.0,Success
30,100000,Heap Sort,Flat (Few Unique),2928.3,0.000002928,149.1,2666.0,19708.0,Success
30,100000,Merge Sort,Flat (Few Unique),19695.0,0.000019695,458.9,18625.0,45041.0,Success
30,100000,Quick Sort,Flat (Few Unique),7130.3,0.000007130,2171.4,4625.0,74000.0,Success
30,100000,Timsort (built-in),Flat (Few Unique),710.7,0.000000711,78.4,583.0,10042.0,Success
30,100000,Timsort (custom),Flat (Few Unique),9942.3,0.000009942,1328.1,5041.0,29542.0,Success
30,100000,Radix Sort,Flat (Few Unique),4048.2,0.000004048,195.0,3833.0,22292.0,Success
30,100000,Counting Sort,Flat (Few Unique),3049.3,0.000003049,192.0,2750.0,25666.0,Success
30,100000,Shell Sort,Floats,8353.2,0.000008353,639.3,6333.0,34792.0,Success
30,100000,Heap Sort,Floats,2591.5,0.000002591,159.2,2375.0,23959.0,Success
30,100000,Merge Sort,Floats,19612.5,0.000019612,433.6,18625.0,48125.0,Success
30,100000,Quick Sort,Floats,20366.8,0.000020367,2519.7,15916.0,96375.0,Success
30,100000,Timsort (built-in),Floats,847.4,0.000000847,89.6,708.0,14584.0,Success
30,100000,Timsort (custom),Floats,11802.6,0.000011803,1252.7,6750.0,29125.0,Success
30,100000,Radix Sort,Floats,,,,,,Skipped (integers only)
30,100000,Counting Sort,Floats,,,,,,Skipped (integers only)
30,100000,Shell Sort,Strings,8822.6,0.000008823,658.2,6667.0,27667.0,Success
30,100000,Heap Sort,Strings,3394.7,0.000003395,132.6,3166.0,17792.0,Success
30,100000,Merge Sort,Strings,19980.2,0.000019980,513.4,19042.0,42583.0,Success
30,100000,Quick Sort,Strings,20833.1,0.000020833,1460.8,16417.0,51083.0,Success
30,100000,Timsort (built-in),Strings,1118.6,0.000001119,118.4,1000.0,26208.0,Success
30,100000,Timsort (custom),Strings,12618.9,0.000012619,1358.3,7042.0,41792.0,Success
30,100000,Radix Sort,Strings,,,,,,Skipped (integers only)
30,100000,Counting Sort,Strings,,,,,,Skipped (integers only)
50,100000,Shell Sort,Random Ints,16163.3,0.000016163,965.1,12958.0,38500.0,Success
50,100000,Heap Sort,Random Ints,4458.5,0.000004458,202.0,4125.0,21041.0,Success
50,100000,Merge Sort,Random Ints,35826.5,0.000035827,789.6,34292.0,110708.0,Success
50,100000,Quick Sort,Random Ints,35512.0,0.000035512,2208.6,27833.0,69000.0,Success
50,100000,Timsort (built-in),Random Ints,1398.1,0.000001398,89.7,1250.0,13625.0,Success
50,100000,Timsort (custom),Random Ints,22266.1,0.000022266,1432.7,16209.0,43750.0,Success
50,100000,Radix Sort,Random Ints,12612.4,0.000012612,372.9,12167.0,45292.0,Success
50,100000,Counting Sort,Random Ints,29996.9,0.000029997,1069.9,24416.0,60834.0,Success
50,100000,Shell Sort,Sorted Ints,6934.4,0.000006934,543.1,6625.0,32125.0,Success
50,100000,Heap Sort,Sorted Ints,4339.9,0.000004340,238.4,4125.0,23750.0,Success
50,100000,Merge Sort,Sorted Ints,30922.4,0.000030922,635.9,29958.0,60916.0,Success
50,100000,Quick Sort,Sorted Ints,36369.7,0.000036370,2727.9,29792.0,78292.0,Success
50,100000,Timsort (built-in),Sorted Ints,178.6,0.000000179,40.8,125.0,10042.0,Success
50,100000,Timsort (custom),Sorted Ints,7148.4,0.000007148,266.1,6833.0,25208.0,Success
50,100000,Radix Sort,Sorted Ints,8398.2,0.000008398,298.6,8125.0,29458.0,Success
50,100000,Counting Sort,Sorted Ints,6706.4,0.000006706,510.7,6375.0,49125.0,Success
50,100000,Shell Sort,Reverse Sorted,12401.8,0.000012402,306.8,11917.0,28792.0,Success
50,100000,Heap Sort,Reverse Sorted,4166.2,0.000004166,212.9,3917.0,22459.0,Success
50,100000,Merge Sort,Reverse Sorted,31998.4,0.000031998,611.6,31166.0,56833.0,Success
50,100000,Quick Sort,Reverse Sorted,36219.4,0.000036219,2767.4,29500.0,97041.0,Success
50,100000,Timsort (built-in),Reverse Sorted,187.0,0.000000187,55.7,125.0,9500.0,Success
50,100000,Timsort (custom),Reverse Sorted,34348.5,0.000034349,614.3,33500.0,64458.0,Success
50,100000,Radix Sort,Reverse Sorted,8369.5,0.000008370,287.2,8042.0,30833.0,Success
50,100000,Counting Sort,Reverse Sorted,6605.4,0.000006605,268.6,6333.0,24292.0,Success
50,100000,Shell Sort,Almost Sorted,8467.1,0.000008467,1296.4,6792.0,26417.0,Success
50,100000,Heap Sort,Almost Sorted,4425.3,0.000004425,220.8,4166.0,18292.0,Success
50,100000,Merge Sort,Almost Sorted,31968.4,0.000031968,784.8,30375.0,61625.0,Success
50,100000,Quick Sort,Almost Sorted,36255.3,0.000036255,2796.4,29917.0,86125.0,Success
50,100000,Timsort (built-in),Almost Sorted,533.6,0.000000534,162.4,166.0,11125.0,Success
50,100000,Timsort (custom),Almost Sorted,8614.3,0.000008614,867.3,7000.0,30458.0,Success
50,100000,Radix Sort,Almost Sorted,8464.9,0.000008465,272.1,8125.0,29333.0,Success
50,100000,Counting Sort,Almost Sorted,6762.0,0.000006762,240.0,6500.0,32125.0,Success
50,100000,Shell Sort,Half Sorted,14131.1,0.000014131,925.6,9833.0,34416.0,Success
50,100000,Heap Sort,Half Sorted,4608.0,0.000004608,239.4,4291.0,24167.0,Success
