Size,Iterations,Algorithm,Data Shape,Avg Time (s),Status
100,100000,Quick Sort,Sorted Ints,0.000059,Success
100,100000,Python Timsort,Sorted Ints,0.000000,Success
100,100000,Radix Sort,Sorted Ints,0.000012,Success
100,100000,Shell Sort,Reverse Sorted,0.000028,Success
100,100000,Heap Sort,Reverse Sorted,0.000008,Success
100,100000,Merge Sort,Reverse Sorted,0.000054,Success
100,100000,Quick Sort,Reverse Sorted,0.000057,Success
100,100000,Python Timsort,Reverse Sorted,0.000000,Success
100,100000,Radix Sort,Reverse Sorted,0.000016,Success
100,100000,Shell Sort,Almost Sorted,0.000023,Success
100,100000,Heap Sort,Almost Sorted,0.000008,Success
100,100000,Merge Sort,Almost Sorted,0.000054,Success
100,100000,Quick Sort,Almost Sorted,0.000058,Success
100,100000,Python Timsort,Almost Sorted,0.000001,Success
100,100000,Radix Sort,Almost Sorted,0.000012,Success
100,100000,Shell Sort,Half Sorted,0.000033,Success
100,100000,Heap Sort,Half Sorted,0.000008,Success
100,100000,Merge Sort,Half Sorted,0.000056,Success
100,100000,Quick Sort,Half Sorted,0.000051,Success
100,100000,Python Timsort,Half Sorted,0.000002,Success
100,100000,Radix Sort,Half Sorted,0.000014,Success
100,100000,Shell Sort,Flat (Few Unique),0.000026,Success
100,100000,Heap Sort,Flat (Few Unique),0.000009,Success
100,100000,Merge Sort,Flat (Few Unique),0.000059,Success
100,100000,Quick Sort,Flat (Few Unique),0.000013,Success
100,100000,Python Timsort,Flat (Few Unique),0.000003,Success
100,100000,Radix Sort,Flat (Few Unique),0.000008,Success
100,100000,Shell Sort,Floats,0.000038,Success
100,100000,Heap Sort,Floats,0.000008,Success
100,100000,Merge Sort,Floats,0.000061,Success
100,100000,Quick Sort,Floats,0.000064,Success
100,100000,Python Timsort,Floats,0.000004,Success
100,100000,Radix Sort,Floats,,Skipped — integers only
100,100000,Shell Sort,Strings,0.000045,Success
100,100000,Heap Sort,Strings,0.000013,Success
100,100000,Merge Sort,Strings,0.000065,Success
100,100000,Quick Sort,Strings,0.000070,Success
100,100000,Python Timsort,Strings,0.000005,Success
100,100000,Radix Sort,Strings,,Skipped — integers only
1000,1000,Shell Sort,Random Ints,0.000822,Success
1000,1000,Heap Sort,Random Ints,0.000114,Success
1000,1000,Merge Sort,Random Ints,0.000857,Success
1000,1000,Quick Sort,Random Ints,0.001014,Success
1000,1000,Python Timsort,Random Ints,0.000057,Success
1000,1000,Radix Sort,Random Ints,0.000205,Success
1000,1000,Shell Sort,Sorted Ints,0.000404,Success
1000,1000,Heap Sort,Sorted Ints,0.000108,Success
1000,1000,Merge Sort,Sorted Ints,0.000708,Success
1000,1000,Quick Sort,Sorted Ints,0.000982,Success
1000,1000,Python Timsort,Sorted Ints,0.000002,Success
1000,1000,Radix Sort,Sorted Ints,0.000142,Success
1000,1000,Shell Sort,Reverse Sorted,0.000593,Success
1000,1000,Heap Sort,Reverse Sorted,0.000106,Success
1000,1000,Merge Sort,Reverse Sorted,0.000711,Success
1000,1000,Quick Sort,Reverse Sorted,0.000986,Success
1000,1000,Python Timsort,Reverse Sorted,0.000003,Success
1000,1000,Radix Sort,Reverse Sorted,0.000176,Success
1000,1000,Shell Sort,Almost Sorted,0.000595,Success
1000,1000,Heap Sort,Almost Sorted,0.000110,Success
1000,1000,Merge Sort,Almost Sorted,0.000770,Success
1000,1000,Quick Sort,Almost Sorted,0.000993,Success
1000,1000,Python Timsort,Almost Sorted,0.000014,Success
1000,1000,Radix Sort,Almost Sorted,0.000150,Success
1000,1000,Shell Sort,Half Sorted,0.000742,Success
1000,1000,Heap Sort,Half Sorted,0.000117,Success
1000,1000,Merge Sort,Half Sorted,0.000808,Success
1000,1000,Quick Sort,Half Sorted,0.000895,Success
1000,1000,Python Timsort,Half Sorted,0.000030,Success
1000,1000,Radix Sort,Half Sorted,0.000183,Success
1000,1000,Shell Sort,Flat (Few Unique),0.000455,Success
1000,1000,Heap Sort,Flat (Few Unique),0.000111,Success
1000,1000,Merge Sort,Flat (Few Unique),0.000794,Success
1000,1000,Quick Sort,Flat (Few Unique),0.000136,Success
1000,1000,Python Timsort,Flat (Few Unique),0.000036,Success
1000,1000,Radix Sort,Flat (Few Unique),0.000065,Success
1000,1000,Shell Sort,Floats,0.000842,Success
1000,1000,Heap Sort,Floats,0.000109,Success
1000,1000,Merge Sort,Floats,0.000845,Success
1000,1000,Quick Sort,Floats,0.001019,Success
1000,1000,Python Timsort,Floats,0.000053,Success
1000,1000,Radix Sort,Floats,,Skipped — integers only
1000,1000,Shell Sort,Strings,0.000916,Success
1000,1000,Heap Sort,Strings,0.000178,Success
1000,1000,Merge Sort,Strings,0.000906,Success
1000,1000,Quick Sort,Strings,0.001131,Success
1000,1000,Python Timsort,Strings,0.000080,Success
1000,1000,Radix Sort,Strings,,Skipped — integers only
10000,100,Shell Sort,Random Ints,0.016182,Success
10000,100,Heap Sort,Random Ints,0.001655,Success
10000,100,Merge Sort,Random Ints,0.011782,Success
